"key","en - English","hi - हिन्दी","ta - தமிழ்","te - తెలుగు","kn - ಕನ್ನಡ","ml - മലയാളം","mr - मराठी","bn - বাংলা","gu - ગુજરાતી","pa - ਪੰਜਾਬੀ"
"auth.send_reset","Send reset link","रीसेट लिंक भेजें","மீட்டமைப்பு இணைப்பை அனுப்பு","రీసెట్ లింక్ పంపండి","ಮರುಹೊಂದಿಸುವ ಲಿಂಕ್ ಕಳುಹಿಸಿ","റീസെറ്റ് ലിങ്ക് അയയ്ക്കുക","रीसेट लिंक पाठवा","রিসেট লিঙ্ক পাঠান","રીસેટ લિંક મોકલો","ਰੀਸੈੱਟ ਲਿੰਕ ਭੇਜੋ"
"flow.title","Daily Study Flow","दैनिक अध्ययन प्रवाह","தினசரி படிப்பு ஓட்டம்","రోజువారీ అధ్యయన ప్రవాహం","ದೈನಂದಿನ ಅಧ್ಯಯನ ಹರಿವು","ദൈനംദിന പഠന ഒഴുക്ക്","दैनिक अभ्यास प्रवाह","দৈনিক অধ্যয়ন প্রবাহ","દૈનિક અભ્યાસ પ્રવાહ","ਰੋਜ਼ਾਨਾ ਅਧਿਐਨ ਪ੍ਰਵਾਹ"
"flow.explainer","Watch or read an explainer","व्याख्या देखें या पढ़ें","விளக்கத்தைப் பாருங்கள் அல்லது படியுங்கள்","వివరణ చూడండి లేదా చదవండి","ವಿವರಣೆಯನ್ನು ನೋಡಿ ಅಥವಾ ಓದಿ","വിശദീകരണം കാണുക അല്ലെങ്കിൽ വായിക്കുക","स्पष्टीकरण पहा किंवा वाचा","ব্যাখ্যা দেখুন বা পড়ুন","સમજૂતી જુઓ અથવા વાંચો","ਵਿਆਖਿਆ ਦੇਖੋ ਜਾਂ ਪੜ੍ਹੋ"
"flow.practice","Solve practice questions","अभ्यास प्रश्न हल करें","பயிற்சி வினாக்களைத் தீர்க்கவும்","అభ్యాస ప్రశ్నలను పరిష్కరించండి","ಅಭ್ಯಾಸ ಪ್ರಶ್ನೆಗಳನ್ನು ಪರಿಹರಿಸಿ","അഭ്യാസ ചോദ്യങ്ങൾ പരിഹരിക്കുക","सराव प्रश्न सोडवा","অনুশীলন প্রশ্ন সমাধান করুন","અભ્યાસ પ્રશ્નો ઉકેલો","ਅਭਿਆਸ ਪ੍ਰਸ਼ਨ ਹੱਲ ਕਰੋ"
"flow.doubt","Ask one doubt with source","स्रोत के साथ एक संदेह पूछें","ஆதாரத்துடன் ஒரு சந்தேகம் கேளுங்கள்","మూలంతో ఒక సందేహం అడగండి","ಮೂಲದೊಂದಿಗೆ ಒಂದು ಸಂದೇಹ ಕೇಳಿ","ഉറവിടത്തോടെ ഒരു സംശയം ചോദിക്കുക","स्रोतासह एक शंका विचारा","উৎস সহ একটি সন্দেহ জিজ্ঞাসা করুন","સ્રોત સાથે એક શંકા પૂછો","ਸਰੋਤ ਨਾਲ ਇੱਕ ਸ਼ੰਕਾ ਪੁੱਛੋ"
"flow.doubt_sub","AI tutor answers from your uploaded material","AI ट्यूटर आपकी अपलोड की गई सामग्री से उत्तर देता है","AI ஆசிரியர் நீங்கள் பதிவேற்றிய பொருளிலிருந்து பதிலளிக்கிறார்","AI ట్యూటర్ మీరు అప్‌లోడ్ చేసిన విషయం నుండి సమాధానం ఇస్తుంది","AI ಶಿಕ್ಷಕ ನೀವು ಅಪ್‌ಲೋಡ್ ಮಾಡಿದ ವಸ್ತುವಿನಿಂದ ಉತ್ತರಿಸುತ್ತಾರೆ","നിങ്ങൾ അപ്‌ലോഡ് ചെയ്ത വസ്തുവിൽ നിന്ന് AI അദ്ധ്യാപകൻ ഉത്തരം നൽകുന്നു","AI शिक्षक तुम्ही अपलोड केलेल्या सामग्रीतून उत्तर देतो","AI শিক্ষক আপনার আপলোড করা উপকরণ থেকে উত্তর দেয়","AI ટ્યુટર તમે અપલોડ કરેલી સામગ્રીમાંથી જવાબ આપે છે","AI ਅਧਿਆਪਕ ਤੁਹਾਡੀ ਅੱਪਲੋਡ ਕੀਤੀ ਸਮੱਗਰੀ ਤੋਂ ਜਵਾਬ ਦਿੰਦਾ ਹੈ"
"flow.mock","Quick mock test","त्वरित मॉक टेस्ट","விரைவு மாதிரித் தேர்வு","త్వరిత మాక్ టెస్ట్","ತ್ವರಿತ ಮಾಕ್ ಟೆಸ್ಟ್","ദ്രുത മോക്ക് ടെസ്റ്റ്","जलद मॉक टेस्ट","দ্রুত মক টেস্ট","ઝડપી મોક ટેસ્ટ","ਤੇਜ਼ ਮੌਕ ਟੈਸਟ"
"flow.flashcards","Flashcard revision","फ्लैशकार्ड पुनरावलोकन","ஃபிளாஷ்கார்டு திருப்புதல்","ఫ్లాష్‌కార్డ్ పునరావలోకనం","ಫ್ಲಾಶ್‌ಕಾರ್ಡ್ ಪುನರಾವಲೋಕನ","ഫ്ലാഷ്കാർഡ് പുനരവലോകനം","फ्लॅशकार्ड उजळणी","ফ্ল্যাশকার্ড পুনরালোচনা","ફ્લેશકાર્ડ પુનરાવર્તન","ਫਲੈਸ਼ਕਾਰਡ ਦੁਹਰਾਈ"
"tool.pyq_sub","Previous year questions for your exam","आपकी परीक्षा के पिछले वर्ष के प्रश्न","உங்கள் தேர்விற்கான முந்தைய ஆண்டு வினாக்கள்","మీ పరీక్ష కోసం గత సంవత్సరం ప్రశ్నలు","ನಿಮ್ಮ ಪರೀಕ್ಷೆಗಾಗಿ ಹಿಂದಿನ ವರ್ಷದ ಪ್ರಶ್ನೆಗಳು","നിങ്ങളുടെ പരീക്ഷയ്ക്കുള്ള മുൻവർഷ ചോദ്യങ്ങൾ","तुमच्या परीक्षेसाठी मागील वर्षांचे प्रश्न","আপনার পরীক্ষার জন্য পূর্ববর্তী বছরের প্রশ্ন","તમારી પરીક્ષા માટે પાછલા વર્ષના પ્રશ્નો","ਤੁਹਾਡੀ ਪ੍ਰੀਖਿਆ ਲਈ ਪਿਛਲੇ ਸਾਲ ਦੇ ਪ੍ਰਸ਼ਨ"
"tool.more","More Tools","और टूल","மேலும் கருவிகள்","మరిన్ని టూల్స్","ಹೆಚ್ಚಿನ ಪರಿಕರಗಳು","കൂടുതൽ ഉപകരണങ്ങൾ","अधिक साधने","আরও টুল","વધુ સાધનો","ਹੋਰ ਟੂਲ"
"tool.quiz_maker","Quiz Maker","क्विज़ मेकर","வினாடி வினா தயாரிப்பு","క్విజ్ మేకర్","ಕ್ವಿಜ್ ಮೇಕರ್","ക്വിസ് മേക്കർ","क्विझ मेकर","কুইজ মেকার","ક્વિઝ મેકર","ਕਵਿਜ਼ ਮੇਕਰ"
"tool.mock_tests","Mock Tests","मॉक टेस्ट","மாதிரித் தேர்வுகள்","మాక్ టెస్ట్‌లు","ಮಾಕ್ ಟೆಸ್ಟ್‌ಗಳು","മോക്ക് ടെസ്റ്റുകൾ","मॉक टेस्ट","মক টেস্ট","મોક ટેસ્ટ","ਮੌਕ ਟੈਸਟ"
"tool.pyq","PYQ Practice","PYQ अभ्यास","PYQ பயிற்சி","PYQ అభ్యాసం","PYQ ಅಭ್ಯಾಸ","PYQ പരിശീലനം","PYQ सराव","PYQ অনুশীলন","PYQ અભ્યાસ","PYQ ਅਭਿਆਸ"
"tool.doubt_chat","Doubt Chat","संदेह चैट","சந்தேக அரட்டை","సందేహ చాట్","ಸಂದೇಹ ಚಾಟ್","സംശയ ചാറ്റ്","शंका चॅट","সন্দেহ চ্যাট","શંકા ચેટ","ਸ਼ੰਕਾ ਚੈਟ"
"tool.learning_path","Learning Path","लर्निंग पाथ","கற்றல் பாதை","లెర్నింగ్ పాత్","ಕಲಿಕೆ ಮಾರ್ಗ","ലേണിംഗ് പാത്ത്","लर्निंग पाथ","লার্নিং পাথ","લર્નિંગ પાથ","ਲਰਨਿੰਗ ਪਾਥ"
"goalcat.school_boards","School Boards","स्कूल बोर्ड","பள்ளி வாரியங்கள்","స్కూల్ బోర్డులు","ಶಾಲಾ ಮಂಡಳಿಗಳು","സ്കൂൾ ബോർഡുകൾ","शाळा मंडळे","স্কুল বোর্ড","શાળા બોર્ડ","ਸਕੂਲ ਬੋਰਡ"
"goalcat.all_state_boards","All State Boards","सभी राज्य बोर्ड","அனைத்து மாநில வாரியங்கள்","అన్ని రాష్ట్ర బోర్డులు","ಎಲ್ಲಾ ರಾಜ್ಯ ಮಂಡಳಿಗಳು","എല്ലാ സംസ്ഥാന ബോർഡുകളും","सर्व राज्य मंडळे","সমস্ত রাজ্য বোর্ড","બધા રાજ્ય બોર્ડ","ਸਾਰੇ ਰਾਜ ਬੋਰਡ"
"goalcat.govt_exams","Government Exams","सरकारी परीक्षाएं","அரசுத் தேர்வுகள்","ప్రభుత్వ పరీక్షలు","ಸರ್ಕಾರಿ ಪರೀಕ್ಷೆಗಳು","സർക്കാർ പരീക്ഷകൾ","सरकारी परीक्षा","সরকারি পরীক্ষা","સરકારી પરીક્ષાઓ","ਸਰਕਾਰੀ ਪ੍ਰੀਖਿਆਵਾਂ"
"goalcat.campus","Campus Placements","कैंपस प्लेसमेंट","வளாகப் பணி நியமனங்கள்","క్యాంపస్ ప్లేస్‌మెంట్‌లు","ಕ್ಯಾಂಪಸ್ ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳು","ക്യാമ്പസ് പ്ലേസ്‌മെന്റുകൾ","कॅम्पस प्लेसमेंट","ক্যাম্পাস প্লেসমেন্ট","કેમ્પસ પ્લેસમેન્ટ","ਕੈਂਪਸ ਪਲੇਸਮੈਂਟ"
"trust.expert_verification","Expert verification","विशेषज्ञ सत्यापन","நிபுணர் சரிபார்ப்பு","నిపుణుల ధృవీకరణ","ತಜ್ಞರ ಪರಿಶೀಲನೆ","വിദഗ്ധ പരിശോധന","तज्ञ पडताळणी","বিশেষজ্ঞ যাচাইকরণ","નિષ્ણાત ચકાસણી","ਮਾਹਰ ਤਸਦੀਕ"
"common.not_set","Not set","सेट नहीं है","அமைக்கப்படவில்லை","సెట్ చేయలేదు","ಸೆಟ್ ಮಾಡಿಲ್ಲ","സജ്ജമാക്കിയിട്ടില്ല","सेट केलेले नाही","সেট করা নেই","સેટ કરેલ નથી","ਸੈੱਟ ਨਹੀਂ ਕੀਤਾ"
"render.analyzing","Analyzing document","दस्तावेज़ का विश्लेषण","ஆவணத்தை பகுப்பாய்வு செய்கிறது","పత్రాన్ని విశ్లేషిస్తోంది","ದಾಖಲೆಯನ್ನು ವಿಶ್ಲೇಷಿಸುತ್ತಿದೆ","ഡോക്യുമെന്റ് വിശകലനം ചെയ്യുന്നു","दस्तऐवजाचे विश्लेषण करत आहे","নথি বিশ্লেষণ করছে","દસ્તાવેજનું વિશ્લેષણ કરી રહ્યું છે","ਦਸਤਾਵੇਜ਼ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ ਕਰ ਰਿਹਾ ਹੈ"
"render.understanding","Understanding topic","विषय समझ रहे हैं","தலைப்பைப் புரிந்துகொள்கிறது","అంశాన్ని అర్థం చేసుకుంటోంది","ವಿಷಯವನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುತ್ತಿದೆ","വിഷയം മനസ്സിലാക്കുന്നു","विषय समजून घेत आहे","বিষয় বোঝা হচ্ছে","વિષય સમજી રહ્યું છે","ਵਿਸ਼ਾ ਸਮਝ ਰਿਹਾ ਹੈ"
"render.script","Creating script","स्क्रिप्ट बना रहे हैं","ஸ்கிரிப்ட் உருவாக்குகிறது","స్క్రిప్ట్ సృష్టిస్తోంది","ಸ್ಕ್ರಿಪ್ಟ್ ರಚಿಸುತ್ತಿದೆ","സ്ക്രിപ്റ്റ് സൃഷ്ടിക്കുന്നു","स्क्रिप्ट तयार करत आहे","স্ক্রিপ্ট তৈরি করছে","સ્ક્રિપ્ટ બનાવી રહ્યું છે","ਸਕ੍ਰਿਪਟ ਬਣਾ ਰਿਹਾ ਹੈ"
"render.storyboard","Creating storyboard","स्टोरीबोर्ड बना रहे हैं","ஸ்டோரிபோர்டு உருவாக்குகிறது","స్టోరీబోర్డ్ సృష్టిస్తోంది","ಸ್ಟೋರಿಬೋರ್ಡ್ ರಚಿಸುತ್ತಿದೆ","സ്റ്റോറിബോർഡ് സൃഷ്ടിക്കുന്നു","स्टोरीबोर्ड तयार करत आहे","স্টোরিবোর্ড তৈরি করছে","સ્ટોરીબોર્ડ બનાવી રહ્યું છે","ਸਟੋਰੀਬੋਰਡ ਬਣਾ ਰਿਹਾ ਹੈ"
"render.voice","Generating voice","आवाज़ बना रहे हैं","குரல் உருவாக்குகிறது","వాయిస్ రూపొందిస్తోంది","ಧ್ವನಿ ರಚಿಸುತ್ತಿದೆ","ശബ്ദം സൃഷ്ടിക്കുന്നു","आवाज तयार करत आहे","ভয়েস তৈরি করছে","અવાજ બનાવી રહ્યું છે","ਆਵਾਜ਼ ਬਣਾ ਰਿਹਾ ਹੈ"
"render.animation","Rendering animation","एनिमेशन रेंडर हो रहा है","அனிமேஷன் ரெண்டர் செய்கிறது","యానిమేషన్ రెండర్ చేస్తోంది","ಅನಿಮೇಷನ್ ರೆಂಡರ್ ಆಗುತ್ತಿದೆ","ആനിമേഷൻ റെൻഡർ ചെയ്യുന്നു","अॅनिमेशन रेंडर करत आहे","অ্যানিমেশন রেন্ডার হচ্ছে","એનિમેશન રેન્ડર થઈ રહ્યું છે","ਐਨੀਮੇਸ਼ਨ ਰੈਂਡਰ ਹੋ ਰਿਹਾ ਹੈ"
"render.quiz","Preparing quiz","क्विज़ तैयार हो रही है","வினாடி வினா தயாராகிறது","క్విజ్ సిద్ధమవుతోంది","ಕ್ವಿಜ್ ಸಿದ್ಧವಾಗುತ್ತಿದೆ","ക്വിസ് തയ്യാറാക്കുന്നു","क्विझ तयार होत आहे","কুইজ প্রস্তুত হচ্ছে","ક્વિઝ તૈયાર થઈ રહી છે","ਕਵਿਜ਼ ਤਿਆਰ ਹੋ ਰਹੀ ਹੈ"
"render.ready","Your video is ready","आपका वीडियो तैयार है","உங்கள் வீடியோ தயார்","మీ వీడియో సిద్ధంగా ఉంది","ನಿಮ್ಮ ವೀಡಿಯೋ ಸಿದ್ಧವಾಗಿದೆ","നിങ്ങളുടെ വീഡിയോ തയ്യാർ","तुमचा व्हिडिओ तयार आहे","আপনার ভিডিও প্রস্তুত","તમારો વિડિયો તૈયાર છે","ਤੁਹਾਡਾ ਵੀਡੀਓ ਤਿਆਰ ਹੈ"
"studio.type_topic","Type a topic","विषय लिखें","ஒரு தலைப்பை உள்ளிடவும்","ఒక అంశాన్ని టైప్ చేయండి","ಒಂದು ವಿಷಯವನ್ನು ಟೈಪ್ ಮಾಡಿ","ഒരു വിഷയം ടൈപ്പ് ചെയ്യുക","एक विषय टाइप करा","একটি বিষয় টাইপ করুন","એક વિષય ટાઇપ કરો","ਇੱਕ ਵਿਸ਼ਾ ਟਾਈਪ ਕਰੋ"
"studio.video_mode","Video mode","वीडियो मोड","வீடியோ பயன்முறை","వీడియో మోడ్","ವೀಡಿಯೋ ಮೋಡ್","വീഡിയോ മോഡ്","व्हिडिओ मोड","ভিডিও মোড","વિડિયો મોડ","ਵੀਡੀਓ ਮੋਡ"
"studio.output_format","Output format","आउटपुट प्रारूप","வெளியீட்டு வடிவம்","అవుట్‌పుట్ ఫార్మాట్","ಔಟ್‌ಪುಟ್ ಸ್ವರೂಪ","ഔട്ട്പുട്ട് ഫോർമാറ്റ്","आउटपुट स्वरूप","আউটপুট ফরম্যাট","આઉટપુટ ફોર્મેટ","ਆਉਟਪੁੱਟ ਫਾਰਮੈਟ"
"audience.general","General audience","सामान्य दर्शक","பொது பார்வையாளர்கள்","సాధారణ ప్రేక్షకులు","ಸಾಮಾನ್ಯ ಪ್ರೇಕ್ಷಕರು","പൊതു പ്രേക്ഷകർ","सामान्य प्रेक्षक","সাধারণ দর্শক","સામાન્ય પ્રેક્ષકો","ਆਮ ਦਰਸ਼ਕ"
"audience.public","General public","आम जनता","பொது மக்கள்","సాధారణ ప్రజలు","ಸಾಮಾನ್ಯ ಜನರು","പൊതുജനം","सामान्य जनता","সাধারণ জনগণ","સામાન્ય જનતા","ਆਮ ਜਨਤਾ"
"audience.exam","Exam focused","परीक्षा केंद्रित","தேர்வு மையமாக","పరీక్ష కేంద్రీకృతం","ಪರೀಕ್ಷೆ ಕೇಂದ್ರಿತ","പരീക്ഷാ കേന്ദ്രീകൃതം","परीक्षा केंद्रित","পরীক্ষা কেন্দ্রিক","પરીક્ષા કેન્દ્રિત","ਪ੍ਰੀਖਿਆ ਕੇਂਦਰਿਤ"
"school.create_content","Create Content","सामग्री बनाएं","உள்ளடக்கம் உருவாக்கு","కంటెంట్ సృష్టించండి","ವಿಷಯ ರಚಿಸಿ","ഉള്ളടക്കം സൃഷ്ടിക്കുക","सामग्री तयार करा","কন্টেন্ট তৈরি করুন","સામગ્રી બનાવો","ਸਮੱਗਰੀ ਬਣਾਓ"
"school.manage","Manage School","स्कूल प्रबंधित करें","பள்ளியை நிர்வகி","పాఠశాలను నిర్వహించండి","ಶಾಲೆಯನ್ನು ನಿರ್ವಹಿಸಿ","സ്കൂൾ കൈകാര്യം ചെയ്യുക","शाळा व्यवस्थापित करा","স্কুল পরিচালনা করুন","શાળાનું સંચાલન કરો","ਸਕੂਲ ਪ੍ਰਬੰਧਿਤ ਕਰੋ"
"school.updates","School Updates","स्कूल अपडेट","பள்ளி புதுப்பிப்புகள்","పాఠశాల అప్‌డేట్‌లు","ಶಾಲಾ ಅಪ್‌ಡೇಟ್‌ಗಳು","സ്കൂൾ അപ്‌ഡേറ്റുകൾ","शाळा अपडेट","স্কুল আপডেট","શાળા અપડેટ્સ","ਸਕੂਲ ਅੱਪਡੇਟ"
"school.admin","School admin","स्कूल एडमिन","பள்ளி நிர்வாகி","పాఠశాల అడ్మిన్","ಶಾಲಾ ನಿರ್ವಾಹಕ","സ്കൂൾ അഡ്മിൻ","शाळा प्रशासक","স্কুল অ্যাডমিন","શાળા એડમિન","ਸਕੂਲ ਐਡਮਿਨ"
"goalcat.college_entrances","College Entrances","कॉलेज प्रवेश","கல்லூரி நுழைவுகள்","కళాశాల ప్రవేశాలు","ಕಾಲೇಜು ಪ್ರವೇಶಗಳು","കോളേജ് പ്രവേശനങ്ങൾ","कॉलेज प्रवेश","কলেজ ভর্তি","કૉલેજ પ્રવેશ","ਕਾਲਜ ਦਾਖਲੇ"
"goalcat.state_board","State Board","राज्य बोर्ड","மாநில வாரியம்","రాష్ట్ర బోర్డు","ರಾಜ್ಯ ಮಂಡಳಿ","സംസ്ഥാന ബോർഡ്","राज्य मंडळ","রাজ্য বোর্ড","રાજ્ય બોર્ડ","ਰਾਜ ਬੋਰਡ"
"action.generate_lesson","Generate lesson","लेसन बनाएँ","பாடம் உருவாக்கு","పాఠం రూపొందించండి","ಪಾಠ ರಚಿಸಿ","പാഠം തയ്യാറാക്കുക","धडा तयार करा","লেসন তৈরি করুন","પાઠ બનાવો","ਪਾਠ ਬਣਾਓ"
"action.narrate_lang","Narrate in selected language","चुनी गई भाषा में सुनाएँ","தேர்ந்தெடுத்த மொழியில் விவரிக்கவும்","ఎంచుకున్న భాషలో వివరించండి","ಆಯ್ದ ಭಾಷೆಯಲ್ಲಿ ವಿವರಿಸಿ","തിരഞ്ഞെടുത്ത ഭാഷയിൽ വിവരിക്കുക","निवडलेल्या भाषेत निवेदन करा","নির্বাচিত ভাষায় বর্ণনা করুন","પસંદ કરેલી ભાષામાં વર્ણન કરો","ਚੁਣੀ ਭਾਸ਼ਾ ਵਿੱਚ ਸੁਣਾਓ"
"action.start_quiz","Start quiz","क्विज़ शुरू करें","வினாடி வினா தொடங்கு","క్విజ్ ప్రారంభించండి","ಕ್ವಿಜ್ ಪ್ರಾರಂಭಿಸಿ","ക്വിസ് തുടങ്ങുക","quiz सुरू करा","কুইজ শুরু করুন","ક્વિઝ શરૂ કરો","ਕੁਇਜ਼ ਸ਼ੁਰੂ ਕਰੋ"
"action.start_game","Start game","गेम शुरू करें","விளையாட்டைத் தொடங்கு","గేమ్ ప్రారంభించండి","ಆಟ ಪ್ರಾರಂಭಿಸಿ","ഗെയിം തുടങ്ങുക","खेळ सुरू करा","গেম শুরু করুন","ગેમ શરૂ કરો","ਖੇਡ ਸ਼ੁਰੂ ਕਰੋ"
"action.generate_recap","Generate recap","रीकैप बनाएँ","சுருக்கம் உருவாக்கு","రీక్యాప్ రూపొందించండి","ಸಾರಾಂಶ ರಚಿಸಿ","സംഗ്രഹം തയ്യാറാക്കുക","उजळणी तयार करा","রিক্যাপ তৈরি করুন","રિકૅપ બનાવો","ਰੀਕੈਪ ਬਣਾਓ"
"action.show_transcript","Show transcript","ट्रांसक्रिप्ट दिखाएँ","உரையைக் காட்டு","ట్రాన్‌స్క్రిప్ట్ చూపించు","ಪಠ್ಯ ತೋರಿಸಿ","ട്രാൻസ്ക്രിപ്റ്റ് കാണിക്കുക","लिखित मजकूर दाखवा","ট্রান্সক্রিপ্ট দেখুন","ટ્રાન્સક્રિપ્ટ બતાવો","ਟ੍ਰਾਂਸਕ੍ਰਿਪਟ ਵੇਖੋ"
"action.open_notes","Open notes","नोट्स खोलें","குறிப்புகளைத் திற","నోట్స్ తెరవండి","ಟಿಪ್ಪಣಿಗಳನ್ನು ತೆರೆಯಿರಿ","കുറിപ്പുകൾ തുറക്കുക","टिपणे उघडा","নোট খুলুন","નોંધો ખોલો","ਨੋਟਸ ਖੋਲ੍ਹੋ"
"status.all_saved","All changes saved","सभी बदलाव सहेजे गए","எல்லா மாற்றங்களும் சேமிக்கப்பட்டன","అన్ని మార్పులు సేవ్ అయ్యాయి","ಎಲ್ಲಾ ಬದಲಾವಣೆಗಳು ಉಳಿಸಲಾಗಿವೆ","എല്ലാ മാറ്റങ്ങളും സേവ് ചെയ്തു","सर्व बदल जतन झाले","সব পরিবর্তন সেভ হয়েছে","બધા ફેરફારો સાચવાયા","ਸਾਰੇ ਬਦਲਾਅ ਸੇਵ ਹੋ ਗਏ"
"live.conversation","Live conversation","लाइव बातचीत","நேரலை உரையாடல்","లైవ్ సంభాషణ","ನೇರ ಸಂಭಾಷಣೆ","തത്സമയ സംഭാഷണം","थेट संवाद","লাইভ কথোপকথন","લાઇવ વાતચીત","ਲਾਈਵ ਗੱਲਬਾਤ"
"flash.num_cards","Number of cards","कार्ड्स की संख्या","கார்டுகளின் எண்ணிக்கை","కార్డుల సంఖ్య","ಕಾರ್ಡ್‌ಗಳ ಸಂಖ್ಯೆ","കാർഡുകളുടെ എണ്ണം","कार्डांची संख्या","কার্ডের সংখ্যা","કાર્ડની સંખ્યા","ਕਾਰਡਾਂ ਦੀ ਗਿਣਤੀ"
"flash.generate_deck","Generate deck","डेक बनाएँ","கார்டுத் தொகுப்பை உருவாக்கு","డెక్ రూపొందించండి","ಡೆಕ್ ರಚಿಸಿ","ഡെക്ക് തയ്യാറാക്കുക","डेक तयार करा","ডেক তৈরি করুন","ડેક બનાવો","ਡੈੱਕ ਬਣਾਓ"
"flash.flip_hint","Tap or press SPACE to flip","पलटने के लिए टैप करें या SPACE दबाएँ","புரட்ட தட்டவும் அல்லது SPACE அழுத்தவும்","తిప్పడానికి ట్యాప్ చేయండి లేదా SPACE నొక్కండి","ತಿರುಗಿಸಲು ಟ್ಯಾಪ್ ಮಾಡಿ ಅಥವಾ SPACE ಒತ್ತಿರಿ","മറിക്കാൻ ടാപ്പ് ചെയ്യുക അല്ലെങ്കിൽ SPACE അമർത്തുക","फिरवण्यासाठी टॅप करा किंवा SPACE दाबा","উল্টে দেখতে ট্যাপ করুন বা SPACE চাপুন","ફેરવવા માટે ટૅપ કરો અથવા SPACE દબાવો","ਪਲਟਣ ਲਈ ਟੈਪ ਕਰੋ ਜਾਂ SPACE ਦਬਾਓ"
"voice.conversation","Voice conversation","वॉइस बातचीत","குரல் உரையாடல்","వాయిస్ సంభాషణ","ಧ್ವನಿ ಸಂಭಾಷಣೆ","വോയ്സ് സംഭാഷണം","व्हॉइस संवाद","ভয়েস কথোপকথন","વૉઇસ વાતચીત","ਆਵਾਜ਼ ਨਾਲ ਗੱਲਬਾਤ"
"essay.grade","Grade my answer","मेरा उत्तर जाँचें","என் பதிலை மதிப்பிடு","నా సమాధానాన్ని మూల్యాంకనం చేయండి","ನನ್ನ ಉತ್ತರವನ್ನು ಮೌಲ್ಯಮಾಪನ ಮಾಡಿ","എന്റെ ഉത്തരം വിലയിരുത്തുക","माझे उत्तर तपासा","আমার উত্তর মূল্যায়ন করুন","મારો જવાબ તપાસો","ਮੇਰੇ ਜਵਾਬ ਨੂੰ ਅੰਕ ਦਿਓ"
"essay.ai_score","AI Score","AI स्कोर","AI மதிப்பெண்","AI స్కోర్","AI ಸ್ಕೋರ್","AI സ്കോർ","AI गुण","AI স্কোর","AI સ્કોર","AI ਸਕੋਰ"
